Abadiano (Los Bajos) , Michoacán. Clave Lada 353
San Pedro Mixtepec Distrito Clave Lada 22 , Oaxaca. Clave Lada 954
San Pedro O Saucito (San Pedro El Saucito) , Sonora. Clave Lada 662
San Pedro Ojo Zarco , San Luis Potosí. Clave Lada 444
San Pedro Piedra Gorda , Zacatecas. Clave Lada 458
San Pedro Pochutla , Oaxaca. Clave Lada 958
San Pedro Quiatoni , Oaxaca. Clave Lada 995
San Pedro Tapanatepec , Oaxaca. Clave Lada 994
San Pedro Tenango El Nuevo (Ten , Guanajuato. Clave Lada 413
San Pedro Tenango El Viejo , Guanajuato. Clave Lada 413
San Pedro Tesistan , Jalisco. Clave Lada 387
San Pedro Tlachichilco , Hidalgo. Clave Lada 776
San Pedro Tlalcuapan de Nicolas , Tlaxcala. Clave Lada 246
San Pedro Tlaquilpan , Hidalgo. Clave Lada 743
San Pedro Tonantzintla , Puebla. Clave Lada 222
San Pedro Totolapa , Oaxaca. Clave Lada 951
San Pedro Totoltepec , Estado de México. Clave Lada 722
San Pedro Tulixtlahuaca , Oaxaca. Clave Lada 954
San Pedro y San Pablo Ayutla , Oaxaca. Clave Lada 951
San Pedro y San Pablo Teposcolula , Oaxaca. Clave Lada 953
San Pedro Yolox , Oaxaca. Clave Lada 951
San Pedro Zacachimalpa , Puebla. Clave Lada 222
San Pedro , Coahuila. Clave Lada 872
San Pedro , Jalisco. Clave Lada 386
San Pedro , Querétaro. Clave Lada 448
San Quintin , Baja California. Clave Lada 616
San Rafael de Arriba , Coahuila. Clave Lada 872
San Rafael Tenanyecac , Tlaxcala. Clave Lada 246
San Rafael Tlanalapan , Puebla. Clave Lada 248
San Rafael , Chihuahua. Clave Lada 635
San Rafael , Estado de México. Clave Lada 597
San Rafael , Nuevo León. Clave Lada 826
San Rafael , Querétaro. Clave Lada 442
San Rafael , Veracrúz. Clave Lada 232
San Ramon , Jalisco. Clave Lada 393
San Raymundo Jalpan , Oaxaca. Clave Lada 951
San Roque de Montes (San Roque) , Guanajuato. Clave Lada 476
San Roque , Guanajuato. Clave Lada 462
San Salvador Atenco , Estado de México. Clave Lada 595
San Salvador El Seco , Puebla. Clave Lada 249
San Salvador El Verde , Puebla. Clave Lada 248
San Salvador Huixcolotla , Puebla. Clave Lada 249
San Salvador Torrecillas , Guanajuato. Clave Lada 411
San Salvador Tzompantepec , Tlaxcala. Clave Lada 241
San Salvador , Hidalgo. Clave Lada 738
San Sebastian (San Sebastian Buenos Aires) , Estado de México. Clave Lada 712
San Sebastian Aparicio , Puebla. Clave Lada 222
San Sebastian del Alamo , Jalisco. Clave Lada 475
San Sebastian del Monte , Oaxaca. Clave Lada 953
San Sebastian del Oeste , Jalisco. Clave Lada 322
San Sebastian del Salitre , Guanajuato. Clave Lada 419
San Sebastian El Grande , Jalisco. Clave Lada 33
San Sebastian Ixcapa , Oaxaca. Clave Lada 954
San Sebastian Tenochtitlan , Hidalgo. Clave Lada 761
San Sebastian Villanueva , Puebla. Clave Lada 249
San Sebastian Zinacatepec , Puebla. Clave Lada 236
San Sebatian Nicananduta , Oaxaca. Clave Lada 953
San Simeon Xipetzinco , Tlaxcala. Clave Lada 241
San Simon de Bravo , Puebla. Clave Lada 249
San Simon de Guerrero , Estado de México. Clave Lada 716
San Simon El Alto , Estado de México. Clave Lada 714
San Simon Yehualtepec , Puebla. Clave Lada 237
San Simon , Estado de México. Clave Lada 716
San Tadeo Huiloapan , Tlaxcala. Clave Lada 246
San Tadeo , Aguascalientes. Clave Lada 495
San Tiburcio , Zacatecas. Clave Lada 842
San Vicente Boqueron , Puebla. Clave Lada 953
San Vicente Coatlan , Oaxaca. Clave Lada 951
San Vicente Chicoloapan , Estado de México. Clave Lada 55
San Vicente de Flores , Guanajuato. Clave Lada 464
San Vicente de Garma (Garma) , Guanajuato. Clave Lada 456
San Vicente de Juarez (Las Piedras) , Morelos. Clave Lada 735
San Vicente Munguia , Guanajuato. Clave Lada 417
San Vicente Palapa , Guerrero. Clave Lada 733
San Vicente Pinas , Oaxaca. Clave Lada 954
San Vicente Tancuayalab , San Luis Potosí. Clave Lada 489
San Vicente , Baja California. Clave Lada 646
San Vicente , Guanajuato. Clave Lada 462
San Vicente , Nuevo León. Clave Lada 823
San Vicente , Nayarit. Clave Lada 329
Sanctorum Lazaro Cardenas , Tlaxcala. Clave Lada 748
Sanchez Celis (El Gato de Lara) , Sinaloa. Clave Lada 697
Sanchez Celis , Sinaloa. Clave Lada 667
Sandoval , Tamaulipas. Clave Lada 868
Santa Adelaida , Tamaulipas. Clave Lada 868
Santa Ana Ahuehuepan , Hidalgo. Clave Lada 773
Santa Ana Amatlan (Santa Ana) , Michoacán. Clave Lada 426
Santa Ana de Allende , Hidalgo. Clave Lada 775
Santa Ana del Aguila , Guerrero. Clave Lada 732
Santa Ana Hueytlalpan , Hidalgo. Clave Lada 775
Santa Ana Jilotzingo , Estado de México. Clave Lada 55
Santa Ana Jilotzingo , Estado de México. Clave Lada 719
Santa Ana Matlabat , Estado de México. Clave Lada 718
Santa Ana Maya , Michoacán. Clave Lada 455
Santa Ana Nopalucan , Tlaxcala. Clave Lada 246
Santa Ana Tlapacoyan , Oaxaca. Clave Lada 951
Santa Ana Tzacuala , Hidalgo. Clave Lada 776
Santa Ana Xalmimilulco , Puebla. Clave Lada 227
Santa Ana Yareni , Oaxaca. Clave Lada 951
Santa Ana Zegache , Oaxaca. Clave Lada 951
Santa Ana Zicatecoyan , Estado de México. Clave Lada 716
Santa Ana Zirosto , Michoacán. Clave Lada 452
Santa Ana , Sonora. Clave Lada 641
Santa Ana , Veracrúz. Clave Lada 279
Santa Anita , Baja California Sur. Clave Lada 624
Santa Anita , Jalisco. Clave Lada 33
Santa Apolonia , Tamaulipas. Clave Lada 894
Santa Barba , Durango. Clave Lada 677
Santa Barbara de Tutuaca (Tutuaca) , Chihuahua. Clave Lada 625
Santa Barbara , Chihuahua. Clave Lada 628
Santa Barbara , Guanajuato. Clave Lada 428
Santa Barbara , Guanajuato. Clave Lada 456
Santa Catarina Coatepec , Puebla. Clave Lada 244
Santa Catarina Cuixtla , Oaxaca. Clave Lada 951
Santa Catarina Juquila , Oaxaca. Clave Lada 954
Santa Catarina Loxicha , Oaxaca. Clave Lada 958
Santa Catarina Mechoacan , Oaxaca. Clave Lada 954
Santa Catarina Minas , Oaxaca. Clave Lada 951
Santa Catarina Ticua , Oaxaca. Clave Lada 953
Santa Catarina Yecahuitzotl , CDMX (Ciudad de México). Clave Lada 55
Santa Catarina , Guanajuato. Clave Lada 419
Santa Catarina , Morelos. Clave Lada 739
Santa Catarina , Querétaro. Clave Lada 442
Santa Catarina , San Luis Potosí. Clave Lada 486
Santa Clara del Cobre , Michoacán. Clave Lada 434
Santa Clara del Tule , Michoacán. Clave Lada 451
Santa Clara Ocoyucan , Puebla. Clave Lada 222
Santa Clara , Durango. Clave Lada 671
Santa Clara , Guanajuato. Clave Lada 418
Santa Clara , Michoacán. Clave Lada 438
Santa Cruz (Santa Cruz Mixtepex , Oaxaca. Clave Lada 953
Santa Cruz Amilpas , Oaxaca. Clave Lada 951
Santa Cruz Atizapan , Estado de México. Clave Lada 713
Santa Cruz Ayotuzco , Estado de México. Clave Lada 55
Santa Cruz Cuautomatitla , Puebla. Clave Lada 244
Santa Cruz de la Loma , Jalisco. Clave Lada 33
Santa Cruz de la Soledad , Jalisco. Clave Lada 376
Santa Cruz de las Flores , Jalisco. Clave Lada 33
Santa Cruz de Miramar , Nayarit. Clave Lada 323
Santa Cruz de Rosales , Chihuahua. Clave Lada 639
Santa Cruz del Astillero , Jalisco. Clave Lada 374
Santa Cruz del Valle , Jalisco. Clave Lada 33
Santa Cruz El Grande , Jalisco. Clave Lada 391
Santa Cruz Itundujia , Oaxaca. Clave Lada 954
Santa Cruz Mixtepec , Oaxaca. Clave Lada 951
Santa Cruz Papalutla , Oaxaca. Clave Lada 951
Santa Cruz Quechulac , Puebla. Clave Lada 282
Santa Cruz Tacache de Mina , Oaxaca. Clave Lada 953
Santa Cruz Tepexpan , Estado de México. Clave Lada 712
Santa Cruz Xitla , Oaxaca. Clave Lada 951
Santa Cruz Xoxocotlan , Oaxaca. Clave Lada 951
Santa Cruz , Guerrero. Clave Lada 757
Santa Cruz , Estado de México. Clave Lada 55
Santa Cruz , Sonora. Clave Lada 645
Santa Elena (Francisco Zarco) , Zacatecas. Clave Lada 458
Santa Elena Paliseca , Hidalgo. Clave Lada 775
Santa Elena , Zacatecas. Clave Lada 496
Santa Eulalia , Chihuahua. Clave Lada 614
Santa Fe de Guadalupe (La Sauce , Guanajuato. Clave Lada 473
Santa Fe de la Laguna , Michoacán. Clave Lada 454
Santa Fe del Rio , Michoacán. Clave Lada 359
Santa Fe , Jalisco. Clave Lada 373
Santa Fe , Morelos. Clave Lada 777
Santa Fe , Tamaulipas. Clave Lada 836
Santa Gertrudis (La Hacienda) , Chihuahua. Clave Lada 621
Santa Gertrudis , Oaxaca. Clave Lada 951
Santa Ines Ahuatempan , Puebla. Clave Lada 224
Santa Ines Yatzeche , Oaxaca. Clave Lada 951
Santa Isabel Cholula , Puebla. Clave Lada 222
Santa Isabel Tlanepantla , Puebla. Clave Lada 224
Santa Isabel , Chihuahua. Clave Lada 614
Santa Lucia Cosamaloapan , Puebla. Clave Lada 244
Santa Lucia Ocotlan , Oaxaca. Clave Lada 951
Santa Maria (Santa Maria Aranza , Estado de México. Clave Lada 714
Santa Maria (Santa Maria Asunci , Guerrero. Clave Lada 741
Santa Maria Ajoloapan , Estado de México. Clave Lada 599
Santa Maria Amealco , Hidalgo. Clave Lada 763
Santa Maria Atexcac , Puebla. Clave Lada 227
Santa Maria Aticpac , Estado de México. Clave Lada 743
Santa Maria Atzompa , Oaxaca. Clave Lada 951
Santa Maria Canchesda , Estado de México. Clave Lada 718
Santa Maria Coronango , Puebla. Clave Lada 222
Santa Maria Cortijo , Oaxaca. Clave Lada 954
Santa Maria Cuevas (Cuevas) , Estado de México. Clave Lada 591
Santa Maria Chachoapam , Oaxaca. Clave Lada 951
Santa Maria Chilapa de Diaz , Oaxaca. Clave Lada 953
Santa Maria Chimalapa , Oaxaca. Clave Lada 994
Santa Maria de Abajo , Jalisco. Clave Lada 475
Santa Maria de los Banos , Querétaro. Clave Lada 442
Santa Maria del Camino , Querétaro. Clave Lada 414
Santa Maria del Monte , Estado de México. Clave Lada 725
Santa Maria del Monte , Puebla. Clave Lada 236
Santa Maria del Oro , Durango. Clave Lada 649
Santa Maria del Oro , Nayarit. Clave Lada 327
Santa Maria del Rio , San Luis Potosí. Clave Lada 485
Santa Maria del Tule , Oaxaca. Clave Lada 951
Santa Maria del Valle , Jalisco. Clave Lada 348
Santa Maria El Rincon , Oaxaca. Clave Lada 954
Santa Maria Guelace , Oaxaca. Clave Lada 951
Santa Maria Huatulco , Oaxaca. Clave Lada 958
Santa Maria Huiramangaro (San Juan) , Michoacán. Clave Lada 434
Santa Maria Ipalapa , Oaxaca. Clave Lada 954
Santa Maria Ixtiyucan , Puebla. Clave Lada 223
Santa Maria Jajalpa , Estado de México. Clave Lada 717
Santa Maria la Calera , Hidalgo. Clave Lada 771
Santa Maria Magdalena Cahuacan , Estado de México. Clave Lada 55
Santa Maria Magdalena Tiltepec , Oaxaca. Clave Lada 954
Santa Maria Malacatepec , Puebla. Clave Lada 222
Santa Maria Mazatla , Estado de México. Clave Lada 55
Santa Maria Mixtequilla , Oaxaca. Clave Lada 971
Santa Maria Moyotzingo , Puebla. Clave Lada 248
Santa Maria Nativitas , Tlaxcala. Clave Lada 246
Santa Maria Nenetzintla , Puebla. Clave Lada 223
Santa Maria Nepopualco , Puebla. Clave Lada 227
Santa Maria Tecomavaca , Oaxaca. Clave Lada 236
Santa Maria Tlalmimilolpan , Estado de México. Clave Lada 728
Santa Maria Tonameca , Oaxaca. Clave Lada 958
Santa Maria Tonanitla , Estado de México. Clave Lada 55
Santa Maria Xadani , Oaxaca. Clave Lada 971
Santa Maria Xonacatepec , Puebla. Clave Lada 222
Santa Maria Xoyatla , Puebla. Clave Lada 244
Santa Maria Xuchapa (xuchapa) , Puebla. Clave Lada 243
Santa Maria Zacatepec , Oaxaca. Clave Lada 954
Santa Maria Zoquitlan , Oaxaca. Clave Lada 951
Santa Maria , Chihuahua. Clave Lada 629
Santa Martha Chichihualtepec , Oaxaca. Clave Lada 951
Santa Martha , Estado de México. Clave Lada 714
Santa Martha , San Luis Potosí. Clave Lada 845
Santa Mateo Atarasquillo , Estado de México. Clave Lada 728
Santa Matilde , Hidalgo. Clave Lada 771
Santa Matilde , Querétaro. Clave Lada 427
Santa Monica Ozumbilla (Ozumbilla) , Guanajuato. Clave Lada 411
Santa Monica , Hidalgo. Clave Lada 771
Santa Rita Tlahuapan , Puebla. Clave Lada 248
Santa Rita , Jalisco. Clave Lada 345
Santa Rita , Zacatecas. Clave Lada 498
Santa Rosa (General Pinzon) , Veracrúz. Clave Lada 296
Santa Rosa de Lima (Santa Rosa) , Guanajuato. Clave Lada 473
Santa Rosa de Lima , Estado de México. Clave Lada 711
Santa Rosa de Rivas , Guanajuato Clave Lada 432
Santa Rosa Jauregui , Querétaro. Clave Lada 442
Santa Rosa Treinta , Morelos. Clave Lada 734
Santa Rosa Xajay , Querétaro. Clave Lada 427
Santa Rosa , Guanajuato. Clave Lada 428
Santa Rosa , Guanajuato. Clave Lada 411
Santa Rosalia de Cuevas , Chihuahua. Clave Lada 625
Santa Rosalia , Baja California Sur. Clave Lada 615
Santa Rosalia , Tamaulipas. Clave Lada 891
Santa Teresa , Guerrero. Clave Lada 733
Santa Teresa , Guanajuato. Clave Lada 418
Santa Teresa , Guanajuato. Clave Lada 473
Santa Teresa , Jalisco. Clave Lada 374
Santa Teresa , Tamaulipas. Clave Lada 841
Santander Jimenez , Tamaulipas. Clave Lada 835
Santas Marias , Guanajuato. Clave Lada 415
Santiago Acutzilapan , Estado de México. Clave Lada 712
Santiago Alseseca , Puebla. Clave Lada 249
Santiago Astata , Oaxaca. Clave Lada 995
Santiago Ayuquililla , Oaxaca. Clave Lada 953
Santiago Bayacora , Durango. Clave Lada 618
Santiago Cacaloxtepec , Oaxaca. Clave Lada 953
Santiago Capitiro , Guanajuato. Clave Lada 411
Santiago Coachochitlan , Estado de México. Clave Lada 718
Santiago Coltzingo , Puebla. Clave Lada 248
Santiago Conguripo , Michoacán. Clave Lada 454
Santiago Cuaula , Tlaxcala. Clave Lada 749
Santiago Cuautlalpan (Mp.Tepotzot , Mex Clave Lada 55
Santiago Cuautlalpan (Mp.Texcoco) , Mex Clave Lada 595
Santiago Chazumba , Oaxaca. Clave Lada 953
Santiago de Anaya , Hidalgo. Clave Lada 772
Santiago de Cuenda , Guanajuato. Clave Lada 412
Santiago de la Pena , Veracrúz. Clave Lada 783
Santiago de Pochotitan , Nayarit. Clave Lada 311
Santiago Ixcuintla , Nayarit. Clave Lada 323
Santiago Ixtaltepec , Oaxaca. Clave Lada 971
Santiago Ixtayutla , Oaxaca. Clave Lada 954
Santiago Jamiltepec , Oaxaca. Clave Lada 954
Santiago Jocotepec , Oaxaca. Clave Lada 954
Santiago Juxtlahuaca , Oaxaca. Clave Lada 953
Santiago Llano Grande , Oaxaca. Clave Lada 954
Santiago Maravatio , Guanajuato. Clave Lada 466
Santiago Matatlan , Oaxaca. Clave Lada 951
Santiago Mexquititlan Barrio , Querétaro. Clave Lada 448
Santiago Miahuatlan , Puebla. Clave Lada 238
Santiago Momoxpan , Puebla. Clave Lada 222
Santiago Niltepec , Oaxaca. Clave Lada 994
Santiago Oxtempan , Estado de México. Clave Lada 711
Santiago Oxtotitlan , Estado de México. Clave Lada 714
Santiago Papasquiaro , Durango. Clave Lada 674
Santiago Puriatzicuaro , Michoacán. Clave Lada 447
Santiago Tamazola , Oaxaca. Clave Lada 953
Santiago Tangamandapio , Michoacán. Clave Lada 383
Santiago Tejocotillos (Tejocoti , Estado de México. Clave Lada 719
Santiago Tenango , Puebla. Clave Lada 249
Santiago Tepeyahualco , Hidalgo. Clave Lada 743
Santiago Tezontlale , Hidalgo. Clave Lada 778
Santiago Tianguistenco , Estado de México. Clave Lada 713
Santiago Tingambato , Michoacán. Clave Lada 423
Santiago Tlapacoya , Hidalgo. Clave Lada 771
Santiago Tlautla , Hidalgo. Clave Lada 773
Santiago Tolman , Estado de México. Clave Lada 592
Santiago Tulantepec , Hidalgo. Clave Lada 775
Santiago Tuxtla , Veracrúz. Clave Lada 294
Santiago Undameo , Michoacán. Clave Lada 443
Santiago Xihuitlan , Veracrúz. Clave Lada 279
Santiago Xochimilco , Tlaxcala. Clave Lada 248
Santiago Yaitepec , Oaxaca. Clave Lada 954
Santiago Yancuitlalpan , Estado de México. Clave Lada 55
Santiago Yeche , Estado de México. Clave Lada 712
Santiago Yolomecatl , Oaxaca. Clave Lada 953
Santiago Yosondua , Oaxaca. Clave Lada 953
Santiago Zautla , Puebla. Clave Lada 233
Santiago( El Cercado ) , Nuevo León. Clave Lada 81
Santiago , Baja California Sur. Clave Lada 624
Santiaguito de Velazquez , Jalisco. Clave Lada 348
Santo Domingo Armenta , Oaxaca. Clave Lada 741
Santo Domingo Atoyatempan , Puebla. Clave Lada 244
Santo Domingo Chihuitan , Oaxaca. Clave Lada 971
Santo Domingo de Morelos , Oaxaca. Clave Lada 958
Santo Domingo Huehuetlan , Puebla. Clave Lada 243
Santo Domingo Ingenio , Oaxaca. Clave Lada 994
Santo Domingo Petapa , Oaxaca. Clave Lada 972
Santo Domingo Tonala , Oaxaca. Clave Lada 953
Santo Domingo Xagacia , Oaxaca. Clave Lada 951
Santo Domingo Yanhuitlan , Oaxaca. Clave Lada 951
Santo Domingo Zanatepec , Oaxaca. Clave Lada 994
Santo Domingo , Chiapas. Clave Lada 962
Santo Domingo , Guanajuato Clave Lada 464
Santo Domingo , San Luis Potosí. Clave Lada 458
Santo Nino Aguanaval , Coahuila. Clave Lada 871
Santo Tomas Apipilhuasco (Santo Tomas) , Estado de México. Clave Lada 595
Santo Tomas Chautla , Puebla. Clave Lada 222
Santo Tomas Hueyotlipan , Puebla. Clave Lada 224
Santo Tomas Mazaltepec , Oaxaca. Clave Lada 951
Santo Tomas , Baja California. Clave Lada 646
Santo Tomas , Chihuahua. Clave Lada 635
Santo Tomas , Hidalgo. Clave Lada 743
Santos Reyes Nopala , Oaxaca. Clave Lada 954
Santos Reyes Tepejillo , Oaxaca. Clave Lada 953
Santuario (Santuario Mapethe) , Hidalgo. Clave Lada 759
Sapioris , Durango. Clave Lada 871
Sarabia , Guanajuato. Clave Lada 411
Saric , Sonora. Clave Lada 637
Sasabe , Sonora. Clave Lada 637
Satevo , Chihuahua. Clave Lada 614
Sauceda de la Borda , Zacatecas. Clave Lada 492
Saucillo de Maldonado , Jalisco. Clave Lada 373
Saucillo , Chihuahua. Clave Lada 621
Sauta , Nayarit. Clave Lada 323
Sauz de Armenta , Guanajuato. Clave Lada 476
Sayula de Aleman , Veracrúz. Clave Lada 924
Sayula Pueblo , Hidalgo. Clave Lada 763
Sayula , Jalisco. Clave Lada 342
Sayulita , Nayarit. Clave Lada 329
Sebastian Lerdo de Tejada , Durango. Clave Lada 618
Seccion Enriquez (Colonia Enriquez) , Chihuahua. Clave Lada 636
Segunda Unidad Xicotencatl (Aq , Tamaulipas. Clave Lada 832
Seis de Enero , Durango. Clave Lada 871
Seis de Enero , Zacatecas. Clave Lada 493
Senguio , Michoacán. Clave Lada 786
Sentispac , Nayarit. Clave Lada 323
Sepio , Guanajuato. Clave Lada 445
Sergio Butron Casas , Quintana Roo. Clave Lada 983
Sesecapa , Chiapas. Clave Lada 918
Sevina , Michoacán. Clave Lada 423
Seybaplaya , Camp. Clave Lada 982
Seye , Yucatán. Clave Lada 988
Sihochac , Camp. Clave Lada 982
Sihuapan , Veracrúz. Clave Lada 294
Silacayoapam , Oaxaca. Clave Lada 953
Silao , Guanajuato. Clave Lada 472
Siltepec , Chiapas. Clave Lada 963
Silva , Guanajuato. Clave Lada 476
Simojovel , Chiapas. Clave Lada 919
Simon Sarlat , Tabasco. Clave Lada 913
Sinaloa de Leyva , Sinaloa. Clave Lada 687
Sinanche , Yucatán. Clave Lada 991
Singuilucan , Hidalgo. Clave Lada 775
Siqueros , Sinaloa. Clave Lada 669
Sisal , Yucatán. Clave Lada 988
Sisoguichi , Chihuahua. Clave Lada 635
Socoltenango , Chiapas. Clave Lada 992
Soconusco , Veracrúz. Clave Lada 924
Soledad de Doblado , Veracrúz. Clave Lada 285
Soledad de Graciano Sanchez , San Luis Potosí. Clave Lada 444
Soledad Etla , Oaxaca. Clave Lada 951
Solosuchiapa , Chiapas. Clave Lada 919
Soltepec , Puebla. Clave Lada 249
Sombrerete , Zacatecas. Clave Lada 433
Sonoita , Sonora. Clave Lada 651
Sontecomapan , Veracrúz. Clave Lada 294
Soteapan , Veracrúz. Clave Lada 924
Soto La Marina , Tamaulipas. Clave Lada 835
Sotuta , Yucatán. Clave Lada 988
Soyalo , Chiapas. Clave Lada 961
Soyataco , Tabasco. Clave Lada 914
Soyatitan , Chiapas. Clave Lada 992
Subteniente Lopez (Santa Elena) , Quintana Roo. Clave Lada 983
Sucila , Yucatán. Clave Lada 986
Suchiapa , Chiapas. Clave Lada 961
Suchiate , Chiapas. Clave Lada 962
Suchil , Durango. Clave Lada 675
Suchilapan del Rio , Veracrúz. Clave Lada 924
Sultepec , Estado de México. Clave Lada 716
Sumidero , Veracrúz. Clave Lada 272
Suspiro Picacho , San Luis Potosí. Clave Lada 444
Susticacan , Zacatecas. Clave Lada 494
Susupuato de Guerrero , Michoacán. Clave Lada 786
Tabasco , Zacatecas. Clave Lada 463
Tacambaro , Michoacán. Clave Lada 459
Tacatzcuaro , Michoacán. Clave Lada 354
Tacoaleche , Zacatecas. Clave Lada 492
Tacotalpa , Tabasco. Clave Lada 932
Tacubaya , Guanajuato. Clave Lada 469
Tafetan , Michoacán. Clave Lada 459
Tahmek , Yucatán. Clave Lada 988
Tala , Jalisco. Clave Lada 384
Talpa de Allende , Jalisco. Clave Lada 388
Tamacuaro , Guerrero. Clave Lada 732
Tamalin , Veracrúz. Clave Lada 768
Taman , San Luis Potosí. Clave Lada 483
Tamasopo , San Luis Potosí. Clave Lada 482
Tamazula de Victoria , Durango. Clave Lada 674
Tamazula , Jalisco. Clave Lada 358
Tamazula , Sinaloa. Clave Lada 687
Tamazulita , Jalisco. Clave Lada 385
Tamazunchale , San Luis Potosí. Clave Lada 483
Tambaca , San Luis Potosí. Clave Lada 482
Tamiahua , Veracrúz. Clave Lada 768
Tamos , Veracrúz. Clave Lada 846
Tampacan , San Luis Potosí. Clave Lada 483
Tampamolon Corona , San Luis Potosí. Clave Lada 489
Tampico Alto , Veracrúz. Clave Lada 833
Tampico , Tamaulipas. Clave Lada 833
Tampiquito (Soto La Marina) , Tamaulipas. Clave Lada 835
Tamuin , San Luis Potosí. Clave Lada 489
Tamulte de las Sabanas , Tabasco. Clave Lada 993
Tanaco , Michoacán. Clave Lada 423
Tancanhuitz , San Luis Potosí. Clave Lada 482
Tancitaro , Michoacán. Clave Lada 425
Tancoco , Veracrúz. Clave Lada 785
Tanchanaco , San Luis Potosí. Clave Lada 482
Tangancicuaro , Michoacán. Clave Lada 355
Tanganhuato , Guerrero. Clave Lada 767
Tanhuato de Guerrero , Michoacán. Clave Lada 356
Tanlajas , San Luis Potosí. Clave Lada 489
Tanque Colorado , San Luis Potosí. Clave Lada 488
Tanquian de Escobedo , San Luis Potosí. Clave Lada 489
Tantoyuca , Veracrúz. Clave Lada 789
Tantoyuquita , Tamaulipas. Clave Lada 831
Tapachula , Chiapas. Clave Lada 962
Tapalapan , Veracrúz. Clave Lada 294
Tapalpa , Jalisco. Clave Lada 343
Tapijulapa , Tabasco. Clave Lada 932
Tapilula , Chiapas. Clave Lada 919
Tapotzingo , Tabasco. Clave Lada 914
Tarandacuao , Guanajuato. Clave Lada 421
Tarecuato , Michoacán. Clave Lada 383
Tarejero , Michoacán. Clave Lada 436
Taretan , Michoacán. Clave Lada 422
Tarimbaro , Michoacán. Clave Lada 443
Tarimoro , Guanajuato. Clave Lada 466
Tarimoro , Michoacán. Clave Lada 356
Tasinaxtla (La Canada) , Jalisco. Clave Lada 341
Tasquillo , Hidalgo. Clave Lada 759
Tataltepec de Valdes , Oaxaca. Clave Lada 954
Tatauzoquico , Puebla. Clave Lada 233
Tateposco (San Jose de Tateposc , Jalisco. Clave Lada 377
Taxadho , Hidalgo. Clave Lada 759
Taxco El Viejo , Guerrero. Clave Lada 762
Taxco , Guerrero. Clave Lada 762
Tayahua (San Jose de Tayahua) , Zacatecas. Clave Lada 499
Tayoltita , Durango. Clave Lada 674
Teabo , Yucatán. Clave Lada 997
Teacapan , Sinaloa. Clave Lada 695
Teapa , Tabasco. Clave Lada 932
Tecajec , Morelos. Clave Lada 731
Tecali de Herrera , Puebla. Clave Lada 224
Tecalitlan , Jalisco. Clave Lada 371
Tecamachalco , Puebla. Clave Lada 249
Tecario , Michoacán. Clave Lada 459
Tecate , Baja California. Clave Lada 665
Tecoanapa , Guerrero. Clave Lada 745
Tecoh , Yucatán. Clave Lada 988
Tecolapa , Colima. Clave Lada 313
Tecolapan , Veracrúz. Clave Lada 284
Tecolotlan , Jalisco. Clave Lada 349
Tecolutilla , Tabasco. Clave Lada 933
Tecolutla , Veracrúz. Clave Lada 766
Tecoman , Colima. Clave Lada 313
Tecomatan , Michoacán. Clave Lada 328
Tecomatlan (San Miguel Tecomatlan) , Estado de México. Clave Lada 714
Tecomatlan , Puebla. Clave Lada 275
Tecomotlan , Jalisco. Clave Lada 378
Tecozautla , Hidalgo. Clave Lada 761
Tecpan de Galeana , Guerrero. Clave Lada 742
Tecpatan , Chiapas. Clave Lada 968
Tecuala , Nayarit. Clave Lada 389
Tecualtitan , Jalisco. Clave Lada 391
Tehuacan , Puebla. Clave Lada 238
Tehuantepec , Oaxaca. Clave Lada 971
Tehuetlan , Hidalgo. Clave Lada 789
Tehuitzingo , Puebla. Clave Lada 275
Tehuixtla , Morelos. Clave Lada 734
Tejaro de los Izquierdo (Tejaro , Michoacán. Clave Lada 443
Tejupilco de Hidalgo , Estado de México. Clave Lada 724
Tekal de Venegas , Yucatán. Clave Lada 991
Tekanto , Yucatán. Clave Lada 991
Tekax , Yucatán. Clave Lada 997
Tekit , Yucatán. Clave Lada 997
Telchac Pueblo , Yucatán. Clave Lada 991
Telchac Puerto , Yucatán. Clave Lada 991
Telixtac , Morelos. Clave Lada 769
Teloloapan , Guerrero. Clave Lada 736
Telonzo , Michoacán. Clave Lada 383
Temalacatzingo , Guerrero. Clave Lada 756
Temamatla , Estado de México. Clave Lada 55
Temapache (H. Temapache de G. Z , Veracrúz. Clave Lada 765
Temascal , Oaxaca. Clave Lada 274
Temascalapa , Estado de México. Clave Lada 596
Temascalcingo , Estado de México. Clave Lada 718
Temascaltepec , Estado de México. Clave Lada 716
Temastian , Jalisco. Clave Lada 437
Temax , Yucatán. Clave Lada 991
Temixco , Morelos. Clave Lada 777
Temoaya , Estado de México. Clave Lada 719
Temoris , Chihuahua. Clave Lada 635
Temosachi , Chihuahua. Clave Lada 659
Temozon , Yucatán. Clave Lada 985
Tempoal de Sanchez , Veracrúz. Clave Lada 789
Tenabo , Camp. Clave Lada 996
Tenamaxtlan , Jalisco. Clave Lada 349
Tenampulco , Puebla. Clave Lada 233
Tenancingo , Estado de México. Clave Lada 714
Tenango de Arista , Estado de México. Clave Lada 717
Tenango de Doria , Hidalgo. Clave Lada 776
Tenango del Aire , Estado de México. Clave Lada 597
Tenango , Hidalgo. Clave Lada 774
Tenantongo (Avandaro) , Estado de México. Clave Lada 726
Tenejapa , Chiapas. Clave Lada 967
